Time (0.2 sec),Price
1551,1270.8
1552,1270.8
1553,1270.8
1554,1270.8
1555,1270.8
1556,1270.8
1557,1270.8
1558,1270.8
1559,1270.8
1560,1270.8
1561,1270.8
1562,1270.8
1563,1270.8
1564,1270.8
1565,1270.8
1566,1270.8
1567,1270.8
1568,1270.8
1569,1270.8
1570,1270.8
1571,1270.8
1572,1270.8
1573,1270.8
1574,1270.8
1575,1270.8
1576,1270.8
1577,1270.8
1578,1270.8
1579,1270.8
1580,1270.8
1581,1270.8
1582,1270.8
1583,1270.8
1584,1270.8
1585,1270.8
1586,1270.8
1587,1270.8
1588,1270.8
1589,1270.8
1590,1270.8
1591,1270.8
1592,1270.6
1593,1270.8
1594,1270.8
1595,1270.8
1596,1270.8
1597,1270.8
1598,1270.8
1599,1270.8
1600,1270.8
1601,1270.8
1602,1270.8
1603,1270.8
1604,1271
1605,1271
1606,1271
1607,1271
1608,1271
1609,1271
1610,1270.8
1611,1270.8
1612,1270.8
1613,1270.8
1614,1270.8
1615,1270.8
1616,1270.8
1617,1270.8
1618,1270.8
1619,1270.8
1620,1270.8
1621,1270.8
1622,1270.8
1623,1270.8
1624,1270.8
1625,1270.8
1626,1270.8
1627,1270.8
1628,1270.8
1629,1270.8
1630,1270.8
1631,1270.8
1632,1270.8
1633,1270.8
1634,1271.2
1635,1271.2
1636,1271.2
1637,1271.2
1638,1271.2
1639,1271.2
1640,1271.2
1641,1271.2
1642,1271
1643,1271
1644,1271.2
1645,1271.2
1646,1271.2
1647,1271.2
1648,1271.2
1649,1271.2
1650,1271.2
1651,1271.2
1652,1271.2
1653,1271.2
1654,1271.2
1655,1271.2
1656,1271.2
1657,1271.2
1658,1271.2
1659,1271.2
1660,1271.2
1661,1271.2
1662,1271.2
1663,1271.2
1664,1271.2
1665,1271.2
1666,1271.2
1667,1271.2
1668,1271.2
1669,1271
1670,1271
1671,1271
1672,1271
1673,1271.2
1674,1271.2
1675,1271.2
1676,1271.2
1677,1271.2
1678,1271.2
1679,1271.2
1680,1271.2
1681,1271.2
1682,1271.2
1683,1271.4
1684,1271.4
1685,1271.4
